Model,Accuracy,Precision,Recall,F1,AUC
Logistic Regression,0.894975,0.8904867803311095,0.9007698460307938,0.8955987971868088,0.9590292733611709
Naive Bayes,0.8624,0.8562653562653563,0.8710757848430314,0.8636070773653169,0.9386380550455221
Decision Tree,0.7645,0.7898773006134969,0.7208558288342332,0.7537898588604286,0.834819372142775
KNN,0.697625,0.6867708874509989,0.7269046190761848,0.7062680622677708,0.7588675241047009
