Model,Accuracy,Precision,Recall,F1,AUC
Logistic Regression,0.8945,0.890383854372774,0.8998200359928015,0.8950770760815515,0.9590064808602592
Naive Bayes,0.861575,0.8584667228306655,0.8659768046390722,0.8622054102481149,0.9386982675479306
Decision Tree,0.763875,0.7876954934336003,0.7226054789042191,0.7537478816321209,0.8340450658618027
KNN,0.684925,0.6788285893780506,0.7022095580883824,0.6903211538934074,0.7408616008844641
